selling_price,km_driven,mileage,engine,max_power
2700000,35000,15,2143,204
1750000,19000,13.96,1451,141
795000,41000,18,1497,117.6
625000,39000,14.28,1798,138.03
3400000,22000,18,1969,190
2650000,53000,12.07,2967,241.4
535000,40000,26.21,1248,88.5
5850000,47000,13.5,2987,282
975000,72200,10.8,2497,150
805000,49900,16.3,1797,147.5
2625000,9000,13.6,1999,177
811000,11000,17,1198,108.5
375000,49000,15.04,1598,103.6
550000,95000,16.3,1797,147.5
645000,11000,14.3,1598,103.5
2550000,18000,15.04,1991,183
599000,46100,16.02,1373,93.7
2700000,16000,14.74,1991,181.04
875000,18000,15.6,1497,116.3
894999,9654,19.56,1197,81.8
175000,11000,23.95,998,67.05
340000,24300,21.21,1197,81.8
1525000,42163,11.36,2755,171.5
1025000,8000,21.5,1497,108.5
2150000,30000,22.69,1995,190
1900000,41000,19.16,2494,157.7
2900000,12000,18.12,1995,190
450000,71000,12.1,2362,164.7
850000,20000,17.5,1373,91.1
10000000,30000,42,1969,400
300000,100000,20.54,1598,103.6
575000,9500,18.16,1196,86.8
160000,120000,20,1399,68
515000,36600,20.4,1197,81.8
390000,50000,20.51,998,67
550000,14000,18.6,1197,81.83
40000,40000,16.1,796,37
220000,120000,21.1,1248,73.9
425000,70000,18.9,1197,82
480000,13000,19.44,999,75
400000,60000,18.9,1197,82
487000,35000,19.1,1197,85.8
386000,44000,19.1,1197,82
100000,120000,13,1493,100
300000,60000,21.43,1364,87.2
100000,60000,18.5,796,53
1750000,30000,13,2982,168.5
450000,15000,18.15,1198,82
490000,90000,22.95,1248,74
345000,47000,17,1497,118
85000,90000,17.3,993,60
215000,120600,18.9,998,67.1
320000,100000,16.2,1599,103.2
459999,60000,20.85,1197,83.14
65000,86000,15.3,1341,83
720000,5000,18.6,1197,81.86
800000,37000,28.09,1248,88.5
520000,14000,20.3,1199,84
580000,70000,20.77,1248,88.76
600000,50000,17.4,1497,117.3
290000,60000,19.4,1198,86.8
360000,50000,26.6,998,58.16
550000,50000,20.85,1197,83.14
375000,70000,18.5,1197,82.85
420000,35000,20.51,998,67
550000,20000,21.21,1197,81.8
270000,20000,24.7,796,47.3
700000,7800,22,1197,81.8
500000,20000,20.4,1197,81.8
1250000,15000,17.6,2179,147.94
320000,31377,18.5,1197,82.85
700000,50000,28.4,1248,74.02
290000,60000,20.51,998,67.04
550000,100000,14.53,1794,138.1
265000,60000,19.4,1198,86.8
830000,5000,21.4,1197,83.1
800000,60000,14.1,2179,147.94
160000,25000,19.7,796,46.3
335000,30000,25.17,799,53.3
329000,80000,20.63,1198,67
775000,75000,24.3,1248,88.5
524000,32000,20.14,1197,81.86
245000,40000,22.74,796,47.3
275000,93000,17,1197,80
520000,60000,17.57,1193,88.7
550000,37000,16.95,1498,97.7
910000,15000,17,1497,121.36
300000,80000,19.49,1198,67.04
350000,140000,20.51,998,67.04
900000,70000,12.83,2696,162
300000,120000,17.21,1493,100
250000,110000,21.1,1248,73.9
1100000,37000,19.67,1582,126.2
270000,44000,25.17,799,53.3
640000,80000,20.77,1248,88.76
650000,125000,15.1,2179,140
409999,13500,15.37,1196,73
165000,75000,17.92,1086,62.1
80000,120000,13.2,1495,94
535000,120000,15.1,2179,140
700000,70000,12.99,2494,100.57
550000,70000,23.4,1248,74
680000,15000,19,1199,88.76
200000,53000,20.36,1197,78.9
500000,120000,23.4,1248,74
1000000,70000,24.52,1248,88.5
110000,120000,14.2,1341,82.9
320000,100000,18.5,1197,80
350000,100000,20.4,1197,83.11
170000,162500,19.4,1405,70
800000,39000,22.54,1396,88.73
500000,75000,26.8,1248,74
1380000,50000,17.6,2179,153.86
1300000,40000,17.3,1497,121
530000,92500,22.32,1582,126.3
360000,158000,23.4,1248,74
310000,120000,19.3,1248,73.9
725000,50000,26,1498,98.6
340000,110000,19.3,1248,73.9
550000,2000,25.4,1186,73.97
1150000,181000,11.5,2982,171
380000,70000,27.28,1047,69
350000,90000,17.97,1498,99.6
610000,2000,18.6,1197,81.86
525000,20000,20.85,1197,83.14
480000,120000,12.8,2494,102
780000,35000,16.55,2498,105
320000,193000,19.3,1248,73.9
375000,80000,20.4,1197,81.8
300000,40000,19.02,1198,67.05
500000,70000,22.54,1396,88.73
404000,122358,12.05,2179,120
500000,75000,14.07,2956,69.01
350000,120000,27.28,1047,69
380000,40000,17.57,1193,88.7
114999,95200,13.2,1495,94
335000,33033,19.4,1198,86.8
465000,63063,18.9,1197,82
290000,60000,21.02,1248,88.76
110000,45000,19.7,796,46.3
450000,80000,11.57,2179,138.1
400000,170000,13.6,2523,63
210000,207890,13.6,2523,63
4600000,7976,17.9,2143,170
220000,35000,16.8,796,34.2
450000,35000,18.9,1197,82
450000,35000,18.9,1197,82
290000,50000,16.95,1197,78.9
520000,20000,20.4,1197,81.8
265000,20000,16.95,1197,78.9
330000,50000,18.6,1197,85.8
330000,50000,18.6,1197,85.8
509999,120000,15.96,2523,62.1
500000,70000,17.1,1591,121.3
525000,50000,17.19,1197,81.86
675000,16500,21.01,1197,81.8
300000,70000,17,1197,80
90000,99361,19.7,796,46.3
650000,25000,26.59,1248,74
409000,70000,19.1,1197,85.8
395000,80000,24,1120,70
400000,70000,19.1,1197,85.8
120000,60000,18.6,1199,79.4
645000,10000,20.3,1199,84
81000,80000,16.1,796,37
1300000,30000,25.6,1498,97.9
1250000,33000,25.6,1498,97.9
535000,90000,16.02,1373,93.7
555000,80100,19.01,1461,108.5
725000,120000,17.4,1497,117.3
229999,40000,25.17,799,53.3
800000,160000,12.99,2494,100.6
409999,47000,20.51,998,67.04
1210000,25000,21.38,1396,88.7
400000,26000,23.84,1199,84
520000,29000,24,1186,73.97
650000,50000,21.4,1197,83.1
325000,58000,16.1,1298,88.2
420000,120000,17.4,1197,85.8
400000,50000,20.4,1197,81.8
254999,80000,17,1197,80
65000,60000,17.3,993,60
351000,36000,23.1,998,67.04
404000,120000,12.8,2494,102
185000,185000,21.1,1248,73.9
250000,50000,23.08,1461,63.1
60000,100000,17.3,993,60
500000,50000,17.1,1591,121.3
85000,80000,18.2,998,67.1
85000,80000,19.7,796,46.3
265000,90000,19.3,1248,73.9
130000,162000,19,998,66.1
480000,110000,20.77,1248,88.76
170000,120000,17.8,1248,75
275000,45000,23.08,1461,63.1
89000,90000,18.9,998,67.1
170000,90000,20,1399,68
1090000,16500,17,1197,110
1100000,67000,17.01,1582,126.2
610000,52000,22,1197,81.8
335000,40000,20.63,1198,67
434999,40000,18.9,1197,82
3000000,35000,14.24,2755,174.5
390000,13000,20.71,799,53.26
325000,40000,18.5,1198,86.8
640000,10000,17,1198,73.75
450000,9000,16.95,1498,97.7
400000,70000,23.59,1364,67.06
215000,60000,20.36,1197,78.9
570000,40000,20.45,1461,83.8
680000,93000,15.1,2179,140
325000,80000,12.8,2494,102
150000,50000,15.64,1193,64.08
690000,68000,14.5,1797,147.5
1550000,25000,14.84,2143,170
64000,18000,25.4,624,37.5
250000,120000,23.08,1461,63.1
65000,35000,18.9,998,67.1
550000,60000,26.59,1248,74
140000,70000,20.36,1197,78.9
300000,30000,25.17,799,53.3
800000,70000,16.34,1798,189.3
2625000,9000,13.6,1999,177
5150000,20000,22.37,2487,214.56
3200000,45000,19.33,1999,177
503000,110000,14.1,2179,147.94
3800000,20000,18,1969,190
2000000,68089,19.16,2494,157.7
225000,58343,21.79,998,67.05
740000,38817,27.39,1248,74
550000,56494,18.2,1199,88.7
750000,79328,12.99,2494,100.6
650000,5621,22,1197,81.8
625000,25538,16.78,1496,88.73
600000,69779,22,1197,81.8
450000,56290,24,1186,73.97
5400000,7500,16.78,1995,190
5500000,8500,16.78,1995,190
779000,7032,19,1199,88.76
645000,11000,14.3,1598,103.5
2475000,2000,16.8,1984,150
150000,106000,20.36,1197,78.9
500000,120000,11.1,2354,158.8
480000,90000,26.59,1248,74
535000,70000,22.32,1582,126.32
250000,240000,12.8,2494,102
300000,100000,21.5,1248,88.8
340000,214000,13.9,1599,103.2
340000,214000,16.8,1493,110
240000,50000,22.74,796,47.3
1085000,1000,18,1497,117.6
750000,19000,28.4,1248,74.02
95000,265000,17,1405,70
409999,35000,20.88,1196,61.7
215000,80000,23.95,998,67.05
1290000,50000,16,2179,140
150000,80000,20.92,998,67.1
219000,50000,21.1,814,55.2
325000,100000,23.84,1199,84
260000,120000,15.1,1196,73
2625000,9000,13.6,1999,177
5150000,20000,22.37,2487,214.56
3200000,45000,19.33,1999,177
503000,110000,14.1,2179,147.94
3800000,20000,18,1969,190
2000000,68089,19.16,2494,157.7
225000,58343,21.79,998,67.05
740000,38817,27.39,1248,74
550000,56494,18.2,1199,88.7
750000,79328,12.99,2494,100.6
650000,5621,22,1197,81.8
625000,25538,16.78,1496,88.73
600000,69779,22,1197,81.8
450000,56290,24,1186,73.97
5400000,7500,16.78,1995,190
5500000,8500,16.78,1995,190
779000,7032,19,1199,88.76
645000,11000,14.3,1598,103.5
2475000,2000,16.8,1984,150
700000,40000,23.8,1498,78.9
950000,45000,21.38,1396,88.7
160000,80000,19.7,796,46.3
409999,135000,24.4,1120,71.01
840000,120000,12.99,2494,100.6
450000,67000,23.59,1364,67.1
900000,50000,28.4,1248,74.02
570000,134000,12.8,2494,102
254999,110000,23.08,1461,63.1
130000,40000,16.1,796,37
530000,120000,23.4,1248,74
520000,110000,20.14,1498,88.8
229999,170000,21,1461,64.1
81000,80000,16.1,796,37
600000,47000,25.2,1248,74
409999,93000,19.1,1197,81.86
120000,70000,16.1,796,37
320000,50000,23.1,998,67.04
292000,70000,20,1399,68.05
390000,80000,13.93,2179,138.03
550000,44000,18.16,1196,86.8
385000,25000,23.1,998,67.04
800000,25000,15.29,1591,121.3
675000,10000,21.21,1197,81.8
1525000,50000,17.6,2179,153.86
950000,30000,23,1498,98.96
610000,50000,21.19,1396,88.73
525000,120000,22.54,1396,88.73
700000,40000,23.8,1498,78.9
375000,80000,15.96,2523,62.1
580000,90000,20.45,1461,83.8
434999,50000,20.4,1197,83.11
350000,2136,22.5,999,67
730000,250000,12.99,2494,100
600000,35000,18.6,1197,81.83
1050000,120000,12.99,2494,100.6
735000,70000,27.39,1248,74
1050000,18000,19.6,1461,108.45
420000,110000,18.2,1248,73.74
800000,60000,23.65,1248,88.5
2000000,60000,12.55,2982,168.5
600000,147000,26.59,1248,74
1900000,130000,12.55,2982,168.5
500000,99500,11.5,1991,147.9
200000,110000,17,1405,71
370000,35000,19.49,1198,67.04
260000,110000,16.2,1493,110
280000,100000,25.32,1198,77
610000,21000,16.02,1373,93.7
300000,60000,23.5,1498,90
140000,40000,16.6,1405,70
229999,50000,19.81,1086,68.05
200000,65000,19,998,66.1
200000,80000,18.9,998,67.1
560000,119000,23.9,1582,126.2
750000,80000,24.52,1248,88.5
585000,90000,25.2,1248,74
760000,20000,17.01,1591,121.4
430000,80000,25.2,1248,74
480000,44665,25.32,1198,77
643000,10000,20.8,1493,113.4
500000,60000,20.14,1197,81.86
425000,22000,18.5,1198,86.8
250000,25000,22.74,796,47.3
285000,70000,27.62,793,47
160000,123000,17.5,1298,85.8
250000,70000,20.54,1598,103.6
170000,70000,18.6,1199,79.4
409999,45000,23.59,1364,67.06
400000,40000,18.9,1197,82
700000,30000,28.4,1248,74.02
350000,90000,12.9,1799,130
660000,34000,17.5,1373,91.1
268000,25000,24.7,796,47.3
270000,50000,22.74,796,47.3
300000,50000,25.44,936,57.6
450000,90000,23.84,1199,84
220000,70000,25.44,936,57.6
250000,146000,13.93,2179,138
300000,85000,15.6,1196,70
88000,201850,17.88,1396,52.8
561000,30000,26.59,1248,74
755000,15000,28.4,1248,74.02
235000,25000,22.7,799,53.64
165000,90000,20.92,998,67.1
190000,80000,19.3,1248,73.9
110000,50000,17.2,1396,53.5
320000,80000,13.6,2523,63
540000,38000,18.6,1197,81.83
180000,60000,21.1,814,55.2
270000,100000,15.37,1196,73
450000,30000,17.5,1197,85.8
450000,30000,19.1,1197,85.8
200000,50000,18.6,1199,76.8
425000,42000,23.84,1199,84
400000,30000,18.2,1199,82.4
125000,60000,19.7,796,46.3
1600000,14000,17.1,1956,170
900000,22000,17.4,1497,117.3
450000,90000,20.54,1598,103.6
210000,46000,20.92,998,67.1
801000,20000,18.6,1197,81.83
317000,15000,15.42,1405,70
600000,40000,16.02,1373,93.7
330000,30000,18.5,1197,82.85
320000,15000,21.1,814,55.2
120000,110000,15.3,1341,83
130000,70000,19.7,796,46.3
220000,80000,18.2,1199,82.4
340000,110000,17.57,1193,88.7
200000,70000,19.68,1399,67
140000,50000,19.7,796,46.3
1000000,190000,12.99,2494,100.6
495000,100000,13.6,2523,63
236000,60000,22.74,796,47.3
390000,40000,20.51,998,67.04
275000,90000,19.3,1248,73.9
503000,110000,14.1,2179,147.94
775000,32000,24.3,1248,88.5
1800000,30000,11.36,2755,171.5
850000,58000,19.67,1582,126.2
750000,5000,24.3,1248,88.5
570000,25000,18.6,1197,81.83
580000,32000,18.9,1197,81.86
484999,30000,18.7,1199,88.7
700000,43000,15.4,1497,117.3
415000,60000,17.7,1497,113.42
325000,50000,19.34,1198,76
550000,14200,18.16,1196,86.8
300000,10000,21.1,814,55.2
217000,25000,22.7,799,53.64
700000,19100,19,1194,94.68
466000,25000,20.3,1086,68
484999,54000,23,1498,98.96
670000,35000,22.71,1461,84.8
500000,20000,18.9,1197,81.86
675000,52000,23.65,1248,88.5
220000,120000,23,1396,90
1650000,50000,17.1,1956,170
630000,120000,20.77,1248,88.8
250000,90000,18.8,1248,90
120000,120000,18.9,998,67.1
300000,101500,21.14,1498,103.52
525000,75000,22.32,1582,126.3
1100000,100000,15.4,1997,120
480000,55735,19.01,1461,108.45
605000,80000,15.1,2179,140
250000,50000,24.7,796,47.3
245000,70000,20,1399,68.1
210000,76000,20.36,1197,78.9
730000,1500,21.21,1197,81.8
500000,76000,15.96,2523,62.1
400000,40000,20.51,998,67.04
280000,60000,21.1,814,55.2
561000,170000,12.8,2494,102
950000,181491,13.5,2477,175.56
375000,53319,25.44,936,56.3
700000,40906,21.66,1498,108.62
375000,31711,17.6,1496,88.7
270000,43755,21.1,814,55.2
300000,66693,25.17,799,53.3
225000,59549,19,998,67.1
1350000,94385,12.99,2494,100.6
200000,73730,18.2,998,67.1
400000,221889,22.32,1582,126.32
500000,116104,25.8,1498,98.6
500000,150546,22,1197,81.8
1500000,148120,14.24,2755,174.5
555000,20000,15.8,1499,110
580000,30000,18.9,1197,81.86
337000,142000,13.7,2179,138.1
175000,20000,12.2,1948,68
180000,120000,18.8,1248,90
200000,80000,19.81,1086,68.05
260000,60000,19.09,1405,69.01
350000,25000,23.01,999,67
409999,50000,13.6,2523,63
655000,126000,18.49,1493,100
370000,170000,26.59,1248,74
200000,24000,22.74,796,47.3
800000,100000,24.52,1248,88.5
550000,10000,24,1199,83.81
300000,70000,20,1399,68
220000,40000,16.8,796,34.2
196000,110000,18.9,998,67.1
135000,80000,19.81,1086,68.05
299000,16500,17.57,1193,88.7
300000,30000,23.95,998,67.05
720000,80000,24.52,1248,88.5
650000,50000,14.1,2179,147.94
300000,25000,23.95,998,67.05
750000,20000,24,1186,73.97
260000,60000,25.17,799,53.3
300000,70000,22.9,1248,74
600000,50000,15.96,2523,62.1
275000,100000,9,2997,218
250000,52000,23.95,998,67.05
420000,80000,23.4,1248,74
235000,50000,21.1,814,55.2
1100000,60000,15.4,2179,120
360000,25000,23.95,998,67.05
380000,50000,24,1120,70
650000,125000,22.77,1498,98.59
350000,80000,20.51,998,67.04
700000,70000,15.96,2523,63
270000,90000,23,1396,90
450000,50000,22.95,1248,74
630000,101000,16.55,2498,105
229999,168000,14,2498,112
229999,168000,14,2498,112
270000,40000,18.9,998,67.1
135000,28900,0,1172,65
275000,20000,18.9,998,67.1
2625000,9000,13.6,1999,177
5150000,20000,22.37,2487,214.56
3200000,45000,19.33,1999,177
503000,110000,14.1,2179,147.94
3800000,20000,18,1969,190
2000000,68089,19.16,2494,157.7
225000,58343,21.79,998,67.05
740000,38817,27.39,1248,74
550000,56494,18.2,1199,88.7
750000,79328,12.99,2494,100.6
650000,5621,22,1197,81.8
625000,25538,16.78,1496,88.73
600000,69779,22,1197,81.8
450000,56290,24,1186,73.97
5400000,7500,16.78,1995,190
5500000,8500,16.78,1995,190
779000,7032,19,1199,88.76
645000,11000,14.3,1598,103.5
2475000,2000,16.8,1984,150
634000,165000,18.49,1493,100
235000,98500,19,998,66.1
275000,98000,20.36,1197,78.9
700000,40000,16.55,2498,105
400000,90000,20.3,1248,92
215000,90000,19.7,796,46.3
150000,110000,17.1,1493,110
950000,77800,25.1,1248,88.5
730000,100000,18.49,1493,100
135000,120000,19,1405,71
350000,80000,19.1,1197,82
535000,21000,18.15,1198,82
455000,100000,19,1197,85.8
655000,25000,21.21,1197,81.8
800000,30000,23,1498,98.96
1100000,25000,17.8,1496,105.5
3000000,40000,13,2143,204
1225000,160000,11.5,2982,169
340000,51492,18.15,1198,82
300000,72000,20.54,1598,103.6
370000,60000,18.16,1196,86.8
330000,136000,15.96,2523,62.1
238000,60000,17.92,1086,62.1
200000,90000,17.92,1086,62.1
320000,91000,22.71,1461,84.8
114999,90000,17.92,1086,62.1
320000,50000,20.51,998,67.04
210000,20000,19.81,1086,68.05
200000,120000,14,2489,95
135000,150000,18.9,1061,67
350000,52000,19.09,1405,69.01
350000,167000,13.6,2523,63
680000,40000,28.4,1248,74.02
200000,190000,17.8,1248,75
300000,50000,23.01,999,67
270000,70000,14,2498,112
225000,80000,18.9,998,67.1
250000,120000,13.6,2523,63
590000,40000,18.49,1493,100
290000,17000,21.1,814,55.2
100000,180000,19,998,67.1
395000,50000,23.1,998,67.04
195000,65000,21.1,814,55.2
45000,10000,26,624,35
270000,70000,13.6,2523,63
600000,90000,13.58,2499,72.4
715000,50000,22.54,1396,88.73
600000,10000,18.6,1197,81.86
875000,25000,18.49,1493,100
420000,100000,13.5,2179,115
325000,70000,10.1,2354,152
385000,30000,20.63,1198,67.06
300000,40000,18.15,1198,82
335000,135000,21.9,1396,88.76
300000,35000,23.1,998,67.04
80000,120000,13.2,1495,94
400000,120000,15.96,2523,62.1
168000,190000,19.09,1396,69
550000,120000,15.96,2523,62.1
320000,175000,13.6,2523,63
320000,175000,15.96,2523,63
350000,25000,16.95,1498,97.7
280000,80000,21.02,1248,88.76
550000,70000,24.4,1120,71
500000,10000,20.14,1197,81.86
700000,6000,19,1194,94.68
380000,90000,20.5,1598,103.5
340000,110000,15.96,2523,63
160000,120000,13.6,2523,63
750000,50000,12.99,2494,100.6
531000,20000,18.9,1197,81.86
300000,35000,23.01,999,67
350000,60000,20.14,1498,88.8
150000,68000,18.6,1199,79.4
450000,30000,20.4,1197,81.8
1625000,54000,16,2179,140
85000,120000,16.8,1405,68
450000,30000,18.9,1197,81.86
360000,50000,27.28,1047,69
390000,6000,23.95,998,67.05
145000,50000,15.37,1196,73
540000,90000,12.05,2179,120
290000,126000,12.8,2494,102
300000,90000,25,1396,69
565000,80000,18.16,1196,86.8
441000,70000,10.5,2609,120
180000,80000,21.1,814,55.2
200000,80000,21.1,814,55.2
85000,150000,19.7,796,46.3
67500,110000,17.88,1396,52.8
700000,110000,24.3,1248,88.5
275000,80000,22.07,1199,73.9
600000,20000,18.9,1197,81.86
250000,120000,13,2489,95
600000,120000,15.96,2523,63
200000,80000,20.4,1248,91.2
425000,91500,24,1120,70
420000,120000,19.3,1248,73.9
321000,100000,23,1396,90
350000,120000,14,2498,112
490000,80000,17.8,1198,86.7
680000,90000,15.4,2523,75
298000,70000,23.95,998,67.05
450000,150000,13.5,2179,115
250000,40000,22.3,1248,74
1075000,110000,12.8,2953,156
500000,20000,18.9,1197,82
681000,10000,19,1194,94.68
650000,90000,15.1,2179,140
80000,70000,15.26,1150,74.9
290000,120000,13.6,2523,63
220000,120000,10.5,2179,120
120000,90000,0,1086,62
229999,80000,22.7,799,53
150000,132478,13.6,2523,63
500000,45000,19.1,1197,85.8
175000,120000,19.09,1396,69
720000,10000,19,1194,94.68
100000,51000,16.1,796,37
250000,105000,12.9,1799,130
810000,100000,15.1,2179,140
165000,30000,19.7,796,46.3
409999,60000,12.2,1994,105.3
430000,86000,22.9,1248,74
300000,15000,20.62,1198,67
350000,137500,19.3,1248,73.9
400000,60000,23.01,999,67
420000,70000,18.2,1248,73.74
430000,5000,20.51,998,67.04
573000,30000,20.4,1197,81.8
210000,40000,21.1,814,55.2
600000,60000,19.01,1461,108.45
150000,70000,17.7,1497,78
550000,15000,20.3,1199,84
320000,110000,19.3,1248,73.9
80000,70000,16.1,796,37
800000,10000,27.4,1498,98.63
500000,60000,16.02,1373,93.7
229999,110000,18.8,1248,90
500000,60000,16.02,1373,93.7
630000,35000,18.6,1197,81.83
190000,70000,16.8,796,34.2
229999,110000,18.8,1248,90
450000,100000,13.6,2523,63
95000,120000,19.7,796,46.3
101000,90000,19.7,796,35
500000,70000,25.8,1498,98.6
1019999,88000,12.99,2494,100.6
244000,38000,21.1,814,55.2
250000,90000,20.51,998,67.04
660000,60000,21.4,1197,83.1
270000,60000,18.5,1197,80
280000,156060,23.2,1248,73.94
1050000,60000,19.67,1582,126.2
525000,70000,20.85,1197,83.14
850000,35000,23.9,1582,126.2
1165000,50000,16,1997,140
345000,50000,18.6,1197,85.8
95000,100000,17.8,1086,63
241000,15000,22.74,796,47.3
235000,20000,22.74,796,47.3
615000,80000,22.77,1498,98.59
350000,110000,20.8,1461,64.1
350000,35000,20.51,998,67.04
380000,35000,20.51,998,67.04
400000,140000,14.07,2956,69.01
220000,40000,19,998,67.1
270000,110000,14.4,2179,120
275000,70000,18.5,1197,85.8
125000,100000,17,1405,71
360000,20000,19.81,1086,68.05
550000,15000,18.9,1197,81.86
200000,70000,16.6,1388,68
327000,20000,18.15,1198,82
425000,15000,19.81,1086,68.05
620000,107000,28.4,1248,74.02
130000,54000,18.4,1248,75
120000,58000,19.7,796,46.3
400000,110000,12.05,2179,120
185000,90000,16.8,1493,110
204999,43000,20.3,998,68.05
625000,43000,28.4,1248,74.02
600000,60000,20.77,1248,88.8
150000,150000,12.8,1396,85
300000,35000,23.01,999,67
229999,46000,18.2,1199,84.8
220000,10000,16.8,796,34.2
576000,35000,18.6,1197,81.83
265000,50000,25.17,799,53.3
300000,80000,22.32,1582,126.32
420000,110000,24.7,1047,69
750000,14000,20.77,1248,88.76
165000,60000,30.46,796,47.3
290000,28000,25.17,799,53.3
160000,57000,21.1,814,55.2
695000,50000,26.59,1248,74
231000,70000,26.2,998,58.2
1050000,60000,21.43,1364,87.2
400000,70000,18.5,1197,82.85
500000,40000,18.6,1197,81.83
150000,120000,21.12,1248,88.8
400000,140000,14.02,2179,118.3
120000,100000,17,1405,70
480000,120000,14.02,2179,118.3
200000,120000,19.09,1405,69.01
300000,64000,17.8,1399,67
350000,25000,23.1,998,67.04
580000,12000,20,999,72
200000,70000,25.44,936,57.6
750000,120000,11,2179,120
261000,90000,25.17,799,53.3
371000,40000,18.2,1199,82.4
320000,300000,13.6,2523,63
204999,120000,19.09,1396,69
110000,90000,13.2,1495,94
150000,100000,17.7,1399,68
625000,90000,15.96,2523,62.1
1300000,50000,15.4,1997,120
900000,168000,20.6,1968,141
180000,110000,20,1399,68
421000,120000,13.6,2523,63
204999,120000,19.09,1396,69
900000,40000,25.5,1498,98.6
165000,110000,17.7,1497,78
270000,100000,21.9,1396,90
